ID,Key,Gemiddelde WOZ,Meest voorkomende postcode
695,WK048401  ,347,         .
696,BU04840101,468,      2401
697,BU04840102,840,      2401
698,BU04840103,424,      2401
699,BU04840104,590,      2401
700,BU04840105,288,      2401
701,BU04840106,274,      2401
702,BU04840107,436,      2401
703,BU04840108,277,      2401
704,BU04840109,453,      2401
705,BU04840110,404,      2401
706,BU04840111,519,      2406
707,WK048402  ,286,         .
708,BU04840201,654,      2402
709,BU04840202,260,      2402
710,BU04840203,327,      2402
711,BU04840204,311,      2402
712,BU04840205,348,      2402
713,BU04840206,257,      2402
714,BU04840207,327,      2402
715,BU04840208,286,      2402
716,BU04840209,163,      2402
717,BU04840210,253,      2402
718,BU04840211,240,      2402
719,WK048403  ,308,         .
720,BU04840301,319,      2403
721,BU04840302,316,      2403
722,BU04840303,280,      2403
723,BU04840304,329,      2403
724,BU04840305,353,      2403
725,BU04840306,270,      2403
726,BU04840307,,      2403
727,WK048404  ,270,         .
728,BU04840401,140,      2404
729,BU04840402,364,      2404
730,BU04840403,285,      2404
731,BU04840404,263,      2404
732,BU04840405,226,      2404
733,WK048405  ,336,         .
734,BU04840501,289,      2405
735,BU04840502,393,      2405
736,BU04840503,265,      2405
737,BU04840504,393,      2405
738,BU04840505,409,      2405
739,BU04840506,,      2405
740,WK048406  ,366,         .
741,BU04840601,353,      2406
742,BU04840602,299,      2406
743,BU04840603,370,      2406
744,BU04840604,478,      2406
745,BU04840605,,      2406
746,WK048407  ,534,         .
747,BU04840701,524,      2407
748,BU04840702,647,      2407
749,WK048408  ,429,         .
750,BU04840801,,      2408
751,BU04840802,283,      2408
752,BU04840803,424,      2408
753,BU04840804,377,      2408
754,BU04840805,419,      2408
755,BU04840806,406,      2408
756,BU04840807,463,      2408
757,BU04840808,399,      2408
758,BU04840809,723,      2408
759,BU04840810,391,      2408
760,BU04840811,401,      2408
761,BU04840812,,      2408
762,BU04840813,,      2408
763,WK048409  ,,         .
764,BU04840901,,      2409
765,WK048431  ,399,         .
766,BU04843101,456,      2731
767,BU04843102,436,      2731
768,BU04843103,350,      2731
769,BU04843104,620,      2731
770,WK048445  ,517,         .
771,BU04844501,577,      2445
772,BU04844502,632,      2445
773,BU04844503,399,      2445
774,BU04844504,688,      2445
775,WK048470  ,368,         .
776,BU04847001,600,      2771
777,BU04847002,615,      2771
778,BU04847003,582,      2771
779,BU04847004,457,      2771
780,BU04847005,397,      2771
781,BU04847006,391,      2771
782,BU04847007,343,      2771
783,BU04847008,280,      2771
784,BU04847009,323,      2771
785,BU04847010,338,      2771
786,BU04847011,332,      2771
787,BU04847012,334,      2771
788,BU04847013,323,      2771
789,BU04847014,480,      2771
790,BU04847015,654,      2771
791,WK048471  ,383,         .
792,BU04847101,393,      2471
793,BU04847102,,      2471
794,BU04847103,362,      2471
795,WK048491  ,437,         .
796,BU04849101,419,      2391
797,BU04849102,616,      2391
798,BU04849103,413,      2391
799,BU04849104,402,      2391
800,BU04849105,459,      2391
801,WK048494  ,380,         .
802,BU04849401,508,      2394
803,BU04849402,343,      2394
804,BU04849403,345,      2394
805,BU04849404,408,      2394
806,WK048496  ,405,         .
807,BU04849601,609,      2396
808,BU04849602,399,      2396
809,BU04849603,355,      2396
810,BU04849604,531,      2396
811,GM1723    ,441,         .
812,WK172301  ,412,         .
813,BU17230101,406,      5131
814,BU17230102,357,      5131
815,BU17230103,336,      5131
816,BU17230104,,      5131
817,BU17230105,749,      5131
818,BU17230106,403,      5131
819,BU17230107,540,      5131
820,WK172302  ,429,         .
821,BU17230201,384,      4861
822,BU17230202,393,      4861
823,BU17230203,346,      4861
824,BU17230204,406,      4861
825,BU17230205,,      4861
826,BU17230206,458,      4861
827,BU17230207,529,      4861
828,WK172303  ,569,         .
829,BU17230301,569,      4856
830,WK172304  ,496,         .
831,BU17230401,485,      4855
832,BU17230402,521,      4855
833,WK172305  ,681,         .
834,BU17230501,681,      4858
835,WK172306  ,,         .
836,BU17230601,,      4859
837,GM1959    ,377,         .
838,WK195901  ,349,         .
839,BU19590101,320,      4251
840,BU19590102,320,      4251
841,BU19590103,310,      4251
842,BU19590104,394,      4251
843,BU19590105,363,      4251
844,BU19590106,328,      4251
845,BU19590107,416,      4251
846,BU19590191,508,      4251
847,BU19590192,575,      4251
848,BU19590193,485,      4251
849,BU19590194,649,      4251
850,WK195902  ,396,         .
851,BU19590201,358,      4254
852,BU19590202,457,      4254
853,BU19590291,559,      4254
854,WK195903  ,351,         .
855,BU19590301,349,      4255
856,BU19590391,,      4255
857,BU19590392,,      4255
858,WK195904  ,360,         .
859,BU19590401,352,      4273
860,BU19590402,,      4273
861,BU19590491,474,      4273
862,BU19590492,,      4273
863,WK195905  ,396,         .
864,BU19590501,391,      4271
865,BU19590591,552,      4271
866,BU19590592,,      4271
867,WK195906  ,373,         .
868,BU19590601,342,      4285
869,BU19590602,356,      4285
870,BU19590603,568,      4285
871,BU19590691,620,      4285
872,WK195907  ,377,         .
873,BU19590701,369,      4284
874,BU19590791,515,      4284
875,WK195908  ,503,         .
876,BU19590801,467,      4288
877,BU19590891,648,      4288
878,WK195909  ,449,         .
879,BU19590901,463,      4287
880,BU19590991,,      4287
881,WK195910  ,355,         .
882,BU19591001,341,      4283
883,BU19591002,,      4283
884,BU19591091,540,      4283
885,WK195911  ,386,         .
886,BU19591101,379,      4281
887,BU19591191,485,      4281
888,WK195912  ,400,         .
889,BU19591201,389,      4286
890,BU19591202,352,      4286
891,BU19591203,482,      4286
892,BU19591291,600,      4286
893,BU19591292,528,      4286
894,WK195913  ,375,         .
895,BU19591301,387,      4264
896,BU19591302,484,      4264
897,BU19591303,240,      4264
898,BU19591391,,      4264
899,WK195914  ,393,         .
900,BU19591401,339,      4261
901,BU19591402,378,      4261
902,BU19591403,458,      4261
903,BU19591491,530,      4261
904,BU19591492,564,      4261
905,WK195915  ,502,         .
906,BU19591501,477,      4269
907,BU19591591,567,      4269
908,WK195916  ,371,         .
909,BU19591601,355,      4268
910,BU19591691,505,      4268
911,WK195917  ,389,         .
912,BU19591701,384,      4266
913,BU19591791,,      4266
914,WK195918  ,476,         .
915,BU19591801,434,      4267
916,BU19591891,548,      4267
917,WK195919  ,387,         .
918,BU19591901,384,      4265
919,BU19591991,444,      4265
920,GM0060    ,343,         .
921,WK006000  ,343,         .
922,BU00600000,343,      9163
923,BU00600001,380,      9164
924,BU00600002,352,      9162
925,BU00600003,309,      9161
926,BU00600007,421,      9162
927,BU00600008,416,      9163
928,BU00600009,424,      9161
929,GM0307    ,432,         .
930,WK030701  ,381,         .
931,BU03070100,382,      3811
932,BU03070101,478,      3811
933,BU03070102,496,      3811
934,BU03070103,397,      3811
935,BU03070104,362,      3811
936,BU03070105,361,      3811
937,BU03070106,363,      3811
938,BU03070107,302,      3811
939,BU03070108,476,      3813
940,WK030702  ,365,         .
941,BU03070200,239,      3811
942,BU03070202,437,      3811
